latitude,longitude,bunrui
32.81697,130.70209,1_林野庁森林管理局
34.702252,135.518581,1_林野庁森林管理局
33.560552,133.528728,1_林野庁森林管理局
36.63715,138.200122,1_林野庁森林管理局
43.062706,141.303386,1_林野庁森林管理局
39.713135,140.121066,1_林野庁森林管理局
34.186153,131.470499,2_地方自治体
35.85736,139.649,2_地方自治体
34.658264,136.371529,2_地方自治体
34.308235,135.529141,2_地方自治体
33.657167,132.900231,2_地方自治体
35.555468,136.91795,2_地方自治体
32.430172,131.429606,2_地方自治体
36.62692,137.23674,2_地方自治体
35.06004,134.112196,2_地方自治体
36.576922,139.894578,2_地方自治体
33.511196,133.268891,3_組合関連
36.247335,137.165708,3_組合関連
35.73711,136.951622,3_組合関連
35.36603,133.176241,3_組合関連
36.152854,137.237172,3_組合関連
35.450535,137.413108,3_組合関連
35.549565,136.912148,3_組合関連
35.63693,136.614906,3_組合関連
35.773237,137.287857,3_組合関連
35.300074,137.50177,3_組合関連
35.340488,136.490838,3_組合関連
36.63982,136.663044,3_組合関連
31.595311,130.556353,3_組合関連
34.976937,138.383024,3_組合関連
35.066656,134.742757,3_組合関連
36.008278,140.131545,4_財団法人、研究機関、大学等
35.878182,140.02504,4_財団法人、研究機関、大学等
34.386182,132.452658,4_財団法人、研究機関、大学等
35.030502,135.78434,4_財団法人、研究機関、大学等
35.706569,139.74697,4_財団法人、研究機関、大学等
35.620045,139.381383,4_財団法人、研究機関、大学等
35.535941,139.701272,4_財団法人、研究機関、大学等
35.687341,139.733907,4_財団法人、研究機関、大学等
35.061555,133.974728,4_財団法人、研究機関、大学等
36.110819,140.099932,4_財団法人、研究機関、大学等
35.785221,139.399473,4_財団法人、研究機関、大学等
35.714157,139.761903,4_財団法人、研究機関、大学等
38.961857,139.932532,5_民間企業
35.608074,137.610344,5_民間企業
35.677324,139.734396,5_民間企業
35.804315,140.119219,5_民間企業
34.465928,132.471902,5_民間企業
35.052387,137.158116,5_民間企業
-3.444345,104.044929,5_民間企業
37.885674,139.032454,5_民間企業
31.587179,130.559075,5_民間企業
34.084167,134.564875,5_民間企業
34.38982,132.459876,5_民間企業
34.699901,135.519791,5_民間企業
35.889213,139.453983,5_民間企業
39.704351,141.135319,5_民間企業
38.264941,140.912337,5_民間企業
35.698622,139.766679,5_民間企業
35.090738,137.114907,5_民間企業
34.717928,135.332196,5_民間企業
34.45906,136.725195,6_その他